"","Time","F1","F2","F3","Word","VClass","N","RTime"
"72",0.167139,564.655,2053.564,2773.212,"I150","ay",0,0.95945945945946
"73",0.169139,556.86,2053.961,2773.46,"I150","ay",0,0.972972972972973
"74",0.171139,552.192,2052.958,2768.032,"I150","ay",0,0.986486486486487
"75",0.173139,549.006,2054.708,2760.543,"I150","ay",0,1
"76",0.025683,825.026,1337.283,2427.338,"I21","ay",1,0
"77",0.027683,830.523,1351.404,2429.98,"I21","ay",1,0.0454545454545454
"78",0.029683,835.767,1365.758,2432.749,"I21","ay",1,0.090909090909091
"79",0.031683,840.292,1379.577,2433.109,"I21","ay",1,0.136363636363636
"80",0.033683,844.831,1393.512,2430.516,"I21","ay",1,0.181818181818182
"81",0.035683,850.146,1407.244,2423.138,"I21","ay",1,0.227272727272727
"82",0.037683,856.126,1419.337,2411.509,"I21","ay",1,0.272727272727273
"83",0.039683,862.196,1428.123,2400.405,"I21","ay",1,0.318181818181818
"84",0.041683,867.386,1432.713,2390.584,"I21","ay",1,0.363636363636364
"85",0.043683,869.972,1435.022,2379.035,"I21","ay",1,0.409090909090909
"86",0.045683,868.486,1438.095,2366.227,"I21","ay",1,0.454545454545455
"87",0.047683,863.525,1443.654,2361.115,"I21","ay",1,0.5
"88",0.049683,857.374,1452.35,2372.128,"I21","ay",1,0.545454545454545
"89",0.051683,851.615,1464.042,2393.774,"I21","ay",1,0.590909090909091
"90",0.053683,845.988,1478.673,2414.635,"I21","ay",1,0.636363636363636
"91",0.055683,839.219,1496.321,2430.092,"I21","ay",1,0.681818181818182
"92",0.057683,830.204,1515.809,2440.217,"I21","ay",1,0.727272727272727
"93",0.059683,818.399,1534.161,2444.049,"I21","ay",1,0.772727272727273
"94",0.061683,803.179,1547.908,2438.557,"I21","ay",1,0.818181818181818
"95",0.063683,784.77,1556.312,2425.673,"I21","ay",1,0.863636363636364
"96",0.065683,765.436,1561.858,2415.804,"I21","ay",1,0.90909090909091
"97",0.067683,747.306,1566.666,2415.947,"I21","ay",1,0.954545454545454
"98",0.069683,731.261,1571.003,2422.981,"I21","ay",1,1
"99",0.025697,638.717,1275.499,2675.517,"Snyder216","ay0",2,0
