*hr.1	ae.1	ah.1	ahr.1	aw.1	ay0.1	ayV.1	e.1	eyC.1	eyr.1	i.1	iw.1	iyC.1	iyr.1	Kuw.1	o.1	oh.1	ohr.1	owC.1	owr.1	oy.1	Tuw.1	u.1	uh.1
556.111111111111	676.36559139785	858	836	835	720.25	804.625	731.516129032258	614.833333333333	604.142857142857	573.297872340426	424.833333333333	478.8	609.5	475.565217391304	852.805555555556	832.205128205128	NA	620.512195121951	614.571428571429	568.428571428571	484	562	709.690476190476
511	639.26582278481	909.5	775.25	839.142857142857	649.461538461538	845.535714285714	706.21568627451	503.741935483871	514	515.422222222222	428.5	404.227272727273	398	435.708333333333	908.775	815.742857142857	744.428571428571	554.05	506.454545454545	520	422.666666666667	506.1	693.863636363636
496	646.219512195122	NA	735.666666666667	748.6875	NA	798.818181818182	631.083333333333	541.052631578947	624	541.45	394	425.375	482.5	433.1	822.368421052632	692.083333333333	NA	528.090909090909	588.25	631	409.4	567	655.714285714286
523.8	635.195652173913	NA	693.75	785.416666666667	698.5	775.5	676.470588235294	555.538461538462	649.666666666667	603.176470588235	443.25	455	NA	497.428571428571	806.4	722.44	NA	645.909090909091	603.4	552	387.5	534.181818181818	685.5
NA	707.592592592593	880	855.5	890.1	752.25	888.2	750.388888888889	588.153846153846	519	546.045454545455	428.555555555556	422.4	NA	412.0625	907.266666666667	793.651162790698	427	633.259259259259	498.666666666667	499.75	401.6	467	737.142857142857
507.8	620.116279069767	725.333333333333	640.5	758.625	NA	679.25	657.75	460.6	468.5	501.692307692308	388.5	370.333333333333	NA	396.5	856.0625	758.5	651	543.1	591.857142857143	NA	463	563.5	649.8
664.714285714286	760.234042553191	712.333333333333	813	778.625	858	829.90909090909	703.653846153846	625.095238095238	651.5	580.411764705882	488.333333333333	457.647058823529	471	434	870.71875	701.179487179487	667.625	597.5	547.5	640	474.916666666667	518.75	718
516.4	696.207547169811	NA	777.5	803.692307692308	NA	730	673.863636363636	500.555555555556	509	479	425	422.888888888889	NA	426.555555555556	776.166666666667	710.52380952381	543.333333333333	595.636363636364	523.75	NA	423	588	723.8125
578.666666666667	631.929577464789	847.8	771.2	834.25925925926	736	824.588235294118	694.777777777778	591.076923076923	609	540.416666666667	407.6	413.090909090909	NA	452.9375	869.892857142857	751.25	653	638.066666666667	636.166666666667	622	421.111111111111	515.466666666667	736.777777777778
517	606.983870967742	835.666666666667	892.333333333333	967.85	861.2	1010.83333333333	650.62962962963	528.25	517.5	479.666666666667	400	402.142857142857	364	444.529411764706	990.714285714286	746.4	430.333333333333	537.192307692308	494.166666666667	487.25	420.4	469.357142857143	677.380952380952
484	654.19298245614	805	648.727272727273	902.785714285714	NA	789.666666666667	629.631578947368	570.090909090909	560.2	521.066666666667	458.2	467.125	416	437.5	851.290322580645	690.607142857143	531.857142857143	564.75	554	402	429	554	685.428571428571
