*hr.1	ae.1	ah.1	ahr.1	aw.1	ay0.1	ayV.1	e.1	eyC.1	eyr.1	i.1	iw.1	iyC.1	iyr.1	Kuw.1	o.1	oh.1	ohr.1	owC.1	owr.1	oy.1	Tuw.1	u.1	uh.1
554	717.916666666667	841	715.714285714286	792.866666666667	755.5	758.333333333333	685.941176470588	586.166666666667	630.666666666667	563.153846153846	401	420.333333333333	NA	439	811.75	773.105263157895	538.8	693.0625	543.428571428571	535	410.5	573.333333333333	707.5
535.6	693.632653061224	737	730.571428571429	825.545454545455	NA	801.166666666667	611.272727272727	549.909090909091	490	528.533333333333	374.333333333333	396.4	NA	387.875	827.91304347826	730.48	499	548	495.5	490	439	462.5	636
485	648.630434782609	857	739.375	852.923076923077	475	795.818181818182	703.047619047619	527.9	412	537.72	380	413.181818181818	NA	427.666666666667	833.483870967742	793.05	500.428571428571	659.05	456.833333333333	522.5	434.285714285714	567.8	728.23076923077
538.75	685.692307692308	764	711.692307692308	755.615384615385	764	783.190476190476	660.090909090909	572.46875	650.333333333333	577.627906976744	438.333333333333	452.964285714286	NA	457.111111111111	805.85	702.3125	574.909090909091	624.147058823529	551.857142857143	616	466.5	570	695.481481481482
490.857142857143	675.583333333333	910	771	820.333333333333	NA	821	630.863636363636	536.954545454545	566.5	513.809523809524	450.25	448.666666666667	427	448.142857142857	838.346153846154	769.055555555556	587	604.423076923077	642.8	669	479.5	483	716.833333333333
463.5	579.847826086957	775.5	685.111111111111	797.56	NA	746.8	656.56	551.130434782609	483	485.9375	424.5	391.125	NA	400	823.083333333333	793.75	608	679.125	579.8	NA	396	541.166666666667	680.555555555556
529	641.774193548387	NA	699.625	800.052631578947	NA	702	654.1	574.384615384615	556.333333333333	548.333333333333	524.5	411.083333333333	409.6	451.4	790.76	723.090909090909	510.5	600.9375	459.25	NA	445	532	687.384615384615
617.25	720.735294117647	678.333333333333	848	809.076923076923	745	822	706.263157894737	594.133333333333	552.333333333333	598.25	433	401.555555555556	NA	502.333333333333	861.125	786.058823529412	688	706.181818181818	636.25	NA	351.333333333333	628.166666666667	761.6
488.5	653.642857142857	734	744.6	778.764705882353	NA	740	614.75	593.357142857143	592.5	522.285714285714	455.75	418.9	469.5	410.875	824.555555555556	748.105263157895	620	605.631578947368	514	611.5	501.333333333333	555	705.846153846154
406	659.045454545455	869	713.25	819.75	694	869.076923076923	662.92	513.823529411765	547	506.833333333333	440	385.333333333333	473	389	891.368421052632	723	550	551.826086956522	507.5	NA	397.5	533.25	665.888888888889
483	607.125	938	732.75	902.1875	NA	773.4	631.6	536.85	536.5	508.55	437	381.714285714286	351	465	852.653846153846	758.48	562	605.25	561.777777777778	566	442	546.75	654
508.142857142857	640.842105263158	776	698.571428571429	808.642857142857	754.5	786.166666666667	659	493.153846153846	674	515.9375	380.5	315.8	497	426	834.346153846154	778.42105263158	622.166666666667	608.066666666667	586	453	439	615	687.214285714286
491.2	623.760869565217	759.5	766.3	785.2	NA	816.416666666667	666.181818181818	550.571428571429	502.5	519.733333333333	386.666666666667	386.857142857143	NA	436	864.076923076923	746.238095238095	525.4	632.083333333333	520.25	512	392	443	695.928571428571
508.875	636.305555555556	NA	756.666666666667	837.375	NA	850	688.3125	537.384615384615	490.5	499.888888888889	412.666666666667	385.857142857143	418	378	888.035714285714	714.538461538462	505.2	571.333333333333	446.5	NA	466.333333333333	523	731.555555555556
471	689.137931034483	888	721	804.25	NA	804.4	665.642857142857	521	499	553	503.5	373	480.5	410.4	838.380952380952	746	468.333333333333	625.857142857143	535.5	517	431	536	696
577.6	646.122448979592	NA	770.333333333333	815.4375	690	785.916666666667	649.545454545455	644.21052631579	586	498.555555555556	416.333333333333	440.7	458.5	465	850.638888888889	730.833333333333	580.75	688.545454545455	566	488	434	516.875	712.714285714286
451.666666666667	628.470588235294	NA	719.666666666667	757.428571428571	719	754.3	656.071428571429	560.642857142857	493	528.357142857143	348	400	452	486	763.958333333333	701.785714285714	555	584.933333333333	559	NA	431	575	671.333333333333
456	568.980392156863	NA	719.8	878.272727272727	609	802.2	754.69696969697	511.823529411765	561.5	516.769230769231	420.333333333333	383	430	424.625	920.545454545455	851.321428571429	531.428571428571	595.8125	535.5	461	353.333333333333	588	708.5
550	610.173913043478	850	786.75	865.538461538462	700.25	885.714285714286	721.666666666667	568.2	NA	542.8	NA	336.2	361	395.5	893.714285714286	783.444444444444	529.666666666667	698.636363636364	531.6	377	398	634.333333333333	722
561	641.96	NA	807.333333333333	811.555555555556	703	839.8	672.3125	554.6	586	559.357142857143	371	331.285714285714	508	374.4	869.222222222222	756.461538461538	609	609.555555555556	559.666666666667	NA	390	585.6	716.7
490.428571428571	626.741935483871	NA	764.875	788.9	740	794.785714285714	720.666666666667	524.916666666667	NA	564.833333333333	413.571428571429	428.181818181818	NA	472	826.09375	775.611111111111	565.285714285714	549.769230769231	523.571428571429	NA	481	582.833333333333	737
467	602.142857142857	823.666666666667	761.777777777778	835.25	728.5	777.4	688	506.25	NA	511.666666666667	348	371	NA	461.5	877.5	769.761904761905	590.833333333333	566.333333333333	605	NA	395.75	593.5	700.470588235294
539.714285714286	691.23076923077	774	819.4	834.545454545455	782.5	785.533333333333	686.75	540.1875	NA	574.588235294118	439.5	410.875	NA	452.888888888889	875.228571428571	760.777777777778	612.857142857143	656.52380952381	592	597	518.166666666667	605	727.809523809524
535.888888888889	601.875	806.75	684.571428571429	823.333333333333	669	800.153846153846	681.653846153846	546.095238095238	NA	518.344827586207	390.666666666667	378.666666666667	NA	450.666666666667	833.516129032258	758.038461538462	570.125	657.315789473684	583.4	NA	448	537.333333333333	701.153846153846
591	457.259259259259	812	785.166666666667	918.142857142857	730	876.09090909091	798.954545454545	538.28	NA	500.611111111111	388	365.285714285714	NA	325.75	908.9	762.5	423.285714285714	666.444444444444	448.285714285714	494	340.666666666667	558.666666666667	811.625
435.428571428571	516.6	NA	648.555555555556	720.461538461538	623.75	779.25	638.238095238095	505.04347826087	NA	474.954545454545	378.333333333333	340.647058823529	NA	362.875	831.166666666667	675.3125	441.545454545455	513.388888888889	428.666666666667	343	408.833333333333	470.333333333333	606.25
528.25	648.687898089172	789	764.321428571429	794.02380952381	709.2	806.348837209302	682.524590163934	541.425531914894	639	510.4	411.833333333333	374.380952380952	496	455.705882352941	831.279069767442	725.112676056338	575.965517241379	584.122448979592	541.3125	512.666666666667	401.777777777778	573.285714285714	737
492.25	586.96875	745.5	659.5	714.25	651	735.416666666667	622	546.384615384615	NA	520.5	440.75	548	NA	479	748.3	725	513	602.5625	559.333333333333	NA	404.2	565	673.214285714286
509	618.707317073171	717.666666666667	672.875	683	678.333333333333	702.214285714286	653.291666666667	551.681818181818	548	571.857142857143	445.5	371.714285714286	489.333333333333	396.25	768.151515151515	676.631578947368	567.875	584.47619047619	563.444444444444	NA	450.142857142857	565.375	663.727272727273
521.666666666667	625.761904761905	NA	674	705	683	719.888888888889	685.75	486.363636363636	NA	536.6	426.5	370	NA	455.333333333333	863.333333333333	780.5	607.333333333333	595.75	560.333333333333	NA	391.5	626.5	703.3
514.75	675.318181818182	933.333333333333	797.285714285714	785.333333333333	NA	844.75	640.25	515.461538461538	NA	539.555555555556	449.25	381.333333333333	NA	472	902.2	719	581.571428571429	550.333333333333	546	588	444	513.2	698.857142857143
515.5	655.537037037037	857	746	765.916666666667	742	795	635	512.142857142857	NA	499.294117647059	421.571428571429	374.5	NA	507.333333333333	820.307692307692	752.48	596.583333333333	641.470588235294	669.333333333333	NA	437.8	619.125	759.090909090909
517.6	654.526315789474	765.6	719.5	777.0625	716.25	830.636363636364	709.514285714286	549.095238095238	601	489.533333333333	380.428571428571	395	NA	459.875	821.744186046512	703.555555555556	518.9	600.695652173913	525	523	387.333333333333	534.2	701.529411764706
471	630.076923076923	766.2	762	841.333333333333	670.666666666667	862.375	757.48	554.9375	NA	531.2	380	341.571428571429	NA	395.625	891.8125	793.736842105263	480.25	572.222222222222	390.5	474	413.4	590.666666666667	725.333333333333
486	613.333333333333	NA	829	883	NA	821.285714285714	661.5	502.2	NA	455.538461538462	359.666666666667	351.714285714286	NA	362.5	924.793103448276	829	545.142857142857	593	540	522	342	547.857142857143	705.769230769231
514.75	679.88	822.5	744.818181818182	832.363636363636	781	815.809523809524	694.941176470588	516.4	NA	476.909090909091	376.666666666667	400.857142857143	281	398.4	890.214285714286	778.592592592593	519	611.9	578.833333333333	481	393	531.333333333333	709
593.333333333333	641.310344827586	730.666666666667	657.75	743.8	NA	759.4	627.545454545455	561.2	NA	540.571428571429	474.25	417.75	NA	433	799	712.066666666667	584.909090909091	586.538461538462	671.666666666667	NA	378.8	531.6	671.444444444444
516	601	713	647.333333333333	729.5	NA	729.333333333333	612.647058823529	513.25	NA	557.214285714286	457	389.1	429.5	429.5	754.392857142857	666.76	508.666666666667	549.5	516	557.5	448	524.571428571429	661.454545454545
550.75	584.521739130435	729.5	722.3	758.222222222222	687	721.333333333333	692.631578947368	574.230769230769	NA	527	400	408.875	NA	374.6	806.304347826087	713.826086956522	510.166666666667	618.285714285714	553	NA	492	618.75	718.444444444444
490	607.842105263158	855.090909090909	765.411764705882	818.8125	692	822.409090909091	646.04	547.25	NA	507.722222222222	417.857142857143	426	NA	490.9375	850.960784313726	753.055555555556	648.066666666667	628.391304347826	612.384615384615	576.666666666667	433.5	615.333333333333	769.428571428571
544.333333333333	672.857142857143	823	754.625	835.545454545455	763.5	842.545454545455	732.895833333333	569.75	525.333333333333	567.21052631579	413.714285714286	386.785714285714	471.5	458.181818181818	856.871794871795	725.25	550.4	591.766666666667	558.625	617.333333333333	437.125	568.6	736.53125
451.4	414.722222222222	801.666666666667	719.333333333333	754.75	661	763.909090909091	725.103448275862	544.384615384615	NA	510	333.75	330.125	NA	377.428571428571	801.560975609756	691.862068965517	453	600.111111111111	469	412	319.5	519.714285714286	700.25
529.75	714.217391304348	836	801.5	829.3	NA	900.75	749.47619047619	553.4375	NA	532.15	280.666666666667	346.111111111111	NA	393.333333333333	884.6	820.55	556.833333333333	561.7	523.6	533.666666666667	309	542	759.6
458.833333333333	560.974358974359	NA	729.4	782	627	761.04347826087	721.411764705882	537.064516129032	510	524.678571428571	358	385.6	444	413.1	835.264705882353	802.793103448276	493.2	552.166666666667	498	475	433	553.571428571429	724.416666666667
484	629.5	862.5	861.25	908.5	896	851.285714285714	729.307692307692	557.5	NA	577.6	501	422.833333333333	434	459.090909090909	912.128205128205	805.833333333333	565.6	610	518.125	548.5	445	641.666666666667	756.076923076923
554.6	642.785714285714	809	693.5	799.076923076923	679	766.45	730.972972972973	516.470588235294	559	523.84375	395.6	374.076923076923	447	438.8	855.83870967742	797.758620689655	643	669.2	557.7	NA	441	590.285714285714	720.5625
540.333333333333	704	707	666	778.2	750.5	755.777777777778	619.526315789474	594	NA	570.318181818182	401	333.125	NA	404.6	795.37037037037	715.4375	563.5	583.916666666667	561.75	NA	414.25	557.666666666667	684.75
578	658.714285714286	721	669.333333333333	822.75	NA	835.071428571429	738.0625	559.466666666667	NA	577.538461538462	405	420.142857142857	NA	437.142857142857	857.5	736.05	491	689.75	520.333333333333	382.5	506.5	608.5	769.333333333333
487.25	544.638297872340	745	688.6	765.1	663	738.833333333333	659.224489795918	509.055555555556	469	511.5	383.333333333333	391.529411764706	385.5	401.222222222222	797.40625	716.6	518.142857142857	571.090909090909	521.1	555	424	514.333333333333	676.846153846154
536.111111111111	619.644736842105	786.545454545455	721.842105263158	802.333333333333	663.4	766.076923076923	691.19512195122	577.227272727273	533.2	565.36	498.111111111111	431.25	NA	466.636363636364	824.446808510638	733	583.636363636364	584.064516129032	563.125	639.666666666667	489.4	532.777777777778	685.666666666667
