Begin	end	Duration	Label	Num	Dash	Pos
119.8084	122.8996	3.0911	#18	NUM	no	Num
122.8996	123.1544	0.2548	3	no	no	First
123.1544	123.3864	0.232	2	no	no	Second
123.3864	123.7666	0.3801	1	no	no	Third
123.7666	124.4793	0.7128	-	no	Dash	Dash
124.4793	125.1418	0.6625	7	no	no	Fourth
125.1418	125.3235	0.1817	1	no	no	Fifth
125.3235	125.5275	0.2041	1	no	no	Sixth
125.5275	125.8802	0.3526	8	no	no	Seventh
125.8802	127.5766	1.6965	#19	NUM	no	Num
127.5766	127.7652	0.1886	2	no	no	First
127.7652	128.0232	0.258	0	no	no	Second
128.0232	128.3933	0.3701	1	no	no	Third
128.3933	128.6193	0.226	-	no	Dash	Dash
128.6193	128.7687	0.1495	2	no	no	Fourth
128.7687	128.8773	0.1085	8	no	no	Fifth
128.8773	128.9929	0.1157	8	no	no	Sixth
128.9929	129.3292	0.3363	4	no	no	Seventh
134.3325	135.976	1.6434	#21	NUM	no	Num
135.976	136.1909	0.2149	6	no	no	First
136.1909	136.4038	0.2129	6	no	no	Second
136.4038	136.596	0.1922	8	no	no	Third
136.596	137.156	0.56	-	no	Dash	Dash
137.156	137.2945	0.1385	8	no	no	Fourth
137.2945	137.5259	0.2315	4	no	no	Fifth
137.5259	137.654	0.1281	8	no	no	Sixth
137.654	138.0012	0.3472	2	no	no	Seventh
138.0012	139.9245	1.9233	#22	NUM	no	Num
139.9245	140.0952	0.1707	9	no	no	First
140.0952	140.3512	0.256	0	no	no	Second
140.3512	140.5406	0.1894	8	no	no	Third
140.5406	141.0048	0.4641	-	no	Dash	Dash
141.0048	141.1463	0.1415	2	no	no	Fourth
141.1463	141.3565	0.2102	6	no	no	Fifth
141.3565	141.5813	0.2248	5	no	no	Sixth
141.5813	141.8685	0.2872	2	no	no	Seventh
141.8685	144.0708	2.2023	#23	NUM	no	Num
144.0708	144.2042	0.1334	3	no	no	First
144.2042	144.4649	0.2607	5	no	no	Second
144.4649	144.8327	0.3678	2	no	no	Third
144.8327	145.0994	0.2668	-	no	Dash	Dash
145.0994	145.346	0.2466	7	no	no	Fourth
145.346	145.4976	0.1516	8	no	no	Fifth
145.4976	145.6794	0.1819	6	no	no	Sixth
145.6794	146.1183	0.4389	5	no	no	Seventh
146.1183	151.8381	5.7198	#24	NUM	no	Num
151.8381	152.0026	0.1644	4	no	no	First
152.0026	152.1381	0.1355	1	no	no	Second
152.1381	152.6296	0.4915	5	no	no	Third
152.6296	152.7308	0.1012	-	no	Dash	Dash
152.7308	152.9116	0.1807	9	no	no	Fourth
152.9116	153.1284	0.2169	4	no	no	Fifth
153.1284	153.3651	0.2367	5	no	no	Sixth
153.3651	153.6507	0.2855	4	no	no	Seventh
153.6507	156.1478	2.4972	#25	NUM	no	Num
156.1478	156.4443	0.2965	0	no	no	First
156.4443	156.6486	0.2043	9	no	no	Second
156.6486	157.0606	0.412	4	no	no	Third
157.0606	157.471	0.4104	-	no	Dash	Dash
157.471	157.6617	0.1908	1	no	no	Fourth
157.6617	157.8593	0.1975	1	no	no	Fifth
157.8593	158.0501	0.1908	8	no	no	Sixth
158.0501	158.403	0.3529	7	no	no	Seventh
158.403	160.2405	1.8375	#26	NUM	no	Num
160.2405	160.3661	0.1256	2	no	no	First
160.3661	160.5746	0.2085	8	no	no	Second
160.5746	161.0579	0.4833	6	no	no	Third
161.0579	161.1526	0.0948	-	no	Dash	Dash
161.1526	161.3895	0.2369	6	no	no	Fourth
161.3895	161.6241	0.2345	6	no	no	Fifth
161.6241	161.9249	0.3009	6	no	no	Sixth
161.9249	162.4248	0.4999	6	no	no	Seventh
162.4248	166.0791	3.6543	#27	NUM	no	Num
166.0791	166.1944	0.1153	8	no	no	First
166.1944	166.3731	0.1786	8	no	no	Second
166.3731	166.7801	0.407	2	no	no	Third
166.7801	167.3114	0.5314	-	no	Dash	Dash
167.3114	167.4675	0.156	8	no	no	Fourth
167.4675	167.6461	0.1786	1	no	no	Fifth
167.6461	167.8338	0.1877	4	no	no	Sixth
167.8338	168.338	0.5042	6	no	no	Seventh
168.338	170.1459	1.8079	#28	NUM	no	Num
170.1459	170.3161	0.1703	9	no	no	First
170.3161	170.477	0.1609	8	no	no	Second
170.477	170.8504	0.3733	4	no	no	Third
170.8504	171.0488	0.1984	-	no	Dash	Dash
171.0488	171.2393	0.1906	9	no	no	Fourth
171.2393	171.3862	0.1468	8	no	no	Fifth
171.3862	171.6267	0.2406	9	no	no	Sixth
171.6267	171.7845	0.1578	8	no	no	Seventh
171.7845	173.8672	2.0827	#29	NUM	no	Num
173.8672	174.0986	0.2314	7	no	no	First
174.0986	174.3339	0.2353	5	no	no	Second
174.3339	174.6008	0.267	8	no	no	Third
174.6008	174.9568	0.3559	-	no	Dash	Dash
174.9568	175.1881	0.2314	7	no	no	Fourth
175.1881	175.3839	0.1958	9	no	no	Fifth
175.3839	175.6074	0.2234	7	no	no	Sixth
175.6074	175.8802	0.2729	4	no	no	Seventh
175.8802	178.6861	2.8058	#30	NUM	no	Num
178.6861	178.9474	0.2613	9	no	no	First
178.9474	179.1184	0.1711	3	no	no	Second
179.1184	179.5758	0.4574	4	no	no	Third
179.5758	180.1167	0.5408	-	no	Dash	Dash
180.1167	180.2837	0.167	5	no	no	Fourth
180.2837	180.4847	0.2009	1	no	no	Fifth
180.4847	180.7072	0.2225	7	no	no	Sixth
180.7072	181.0021	0.2949	0	no	no	Seventh
