*hr.2	ae.2	ah.2	ahr.2	aw.2	ay0.2	ayV.2	e.2	eyC.2	eyr.2	i.2	iw.2	iyC.2	iyr.2	Kuw.2	o.2	oh.2	ohr.2	owC.2	owr.2	oy.2	Tuw.2	u.2	uh.2
1448.4	2007.89130434783	1447.5	1405.6	1421	NA	1503	1743.68181818182	1947.35714285714	1956	1835.66666666667	1753.33333333333	2318.42857142857	NA	975.857142857143	1504.88461538462	1214	966.2	1122.58333333333	934.75	922	1697.8	905	1305.14285714286
1417.75	2131.33333333333	NA	1296.83333333333	1428.25	NA	1484.22222222222	1852.25	2126	2192	1952.61111111111	1886	2332.28571428571	1837	881.5	1431.64285714286	1101.46153846154	950	1077.38888888889	829.5	NA	1778	1107.25	1373.11111111111
1600.5	1899.82758620690	1536	1398.28571428571	1538.25	NA	1473.1	1689.42857142857	1908.09090909091	1814	1792.38461538462	1818.25	2276.6	1934	958.2	1509.47619047619	1187.57692307692	900.333333333333	1189.14285714286	924.5	1147	1788.66666666667	1014.33333333333	1345.57142857143
1493	1818.38775510204	NA	1387.33333333333	1460.75	1472.33333333333	1452.66666666667	1682.5	1755.94736842105	1798	1862.55555555556	1870	2018.8	1827	1038.33333333333	1447.61111111111	1204.8	898.5	1247.59090909091	905	781	1768.875	1270	1291.28571428571
1536.33333333333	2029.82352941176	NA	1419	1719.42857142857	1379	1606.9	1732.57142857143	2106.14285714286	1707	1853.14285714286	2037	2366.3	2366	1158.33333333333	1626.95833333333	1232.57142857143	822	1195.4	983	NA	1899.66666666667	1496.75	1310.66666666667
1447.33333333333	2037.07843137255	NA	1339.4	1504.45454545455	1305.4	1459.6	1513.84848484848	2157.64705882353	2009.5	1829.30769230769	1884	2333	2279	1096.5	1457.84848484848	1197.35714285714	938.714285714286	1086.875	879.333333333333	861	1847.66666666667	1038.75	1218.61111111111
1433	2095.43478260870	1307	1350.375	1544.46153846154	1157	1408.28571428571	1675.33333333333	2076.86666666667	NA	1828.55	NA	2375.2	2126	986.666666666667	1467.32142857143	1136.48148148148	760.333333333333	1078.5	742.8	771	1916.33333333333	1265	1229.83333333333
1417	2023	NA	1381.33333333333	1444	1348	1575.2	1785.8125	2010	1877	1918.57142857143	1896	2360.14285714286	2033	949.4	1500.22222222222	1171.73076923077	906.4	1080.88888888889	885.333333333333	NA	1778	1231.2	1356.3
1385.71428571429	1995.87096774194	NA	1399.375	1426.7	1512	1574.35714285714	1675.19047619048	2045.08333333333	NA	1794.58333333333	1423.28571428571	2328.09090909091	NA	971.333333333333	1582.375	1230.16666666667	951.857142857143	1064	911.714285714286	NA	1619.5	1246.5	1472.66666666667
1648.5	2136.10714285714	1420.66666666667	1343.33333333333	1481.5	1378.5	1537.2	1725.44444444444	2057.75	NA	1874	1949	2308.66666666667	NA	1000.66666666667	1471.125	1124.14285714286	902.833333333333	1116.11111111111	956.6	NA	1917.5	1013.5	1338.47058823529
1462.85714285714	1930.46153846154	1390	1289.6	1389.90909090909	1345.5	1419.53333333333	1746.75	2099.6875	NA	1870.64705882353	1416.5	2270.5	NA	930.222222222222	1470.94285714286	1196.22222222222	929.857142857143	1095.76190476190	976	932	1492.5	1301.85714285714	1338.66666666667
1328.66666666667	2066.875	1358.25	1284.28571428571	1533.5	1435	1453.23076923077	1732.65384615385	2109.85714285714	NA	1906.24137931034	1903.66666666667	2551.16666666667	NA	1005.83333333333	1476.77419354839	1172.46153846154	927.625	1184.89473684211	906.8	NA	1917.5	1022.33333333333	1359.15384615385
1435	2397.25925925926	1501	1386.66666666667	1405	1412.66666666667	1542.90909090909	1616.81818181818	2175.56	NA	1965.44444444444	1987.5	2513.57142857143	NA	900.5	1595.5	1175	769.142857142857	1257.55555555556	784.142857142857	927	2119.66666666667	1029.66666666667	1359.75
1289.42857142857	2039.66	NA	1124.44444444444	1410.15384615385	1189	1335.91666666667	1557.04761904762	1902.30434782609	NA	1755.59090909091	1471.66666666667	2158	NA	738.125	1429.86111111111	967.65625	708.272727272727	905.611111111111	700	700	1332.66666666667	986.333333333333	1125.25
1434.625	1961.45859872611	1320.5	1353.57142857143	1407.23809523810	1441.8	1523.46511627907	1741.96721311475	2015.40425531915	1942	1905.52	1813.41666666667	2394.28571428571	2238	1098.94117647059	1484.25581395349	1154.15492957746	914.068965517241	1046.02040816327	890.875	961	1707.94444444444	1314.42857142857	1317.80555555556
1551.25	2067.78125	1474	1380	1437.33333333333	1537	1465.91666666667	1781	2107.69230769231	NA	1956.5	1620.25	2556	NA	1080	1528.03333333333	1200	943	1092.5625	931.333333333333	NA	1718.2	1431	1290.42857142857
1662.4	2050.87804878049	1287.33333333333	1342.625	1337.9	1306.66666666667	1500.92857142857	1771.08333333333	2071.04545454545	2058.5	1889	1744.75	2362.64285714286	2110.66666666667	1048.5	1540.45454545455	1212.94736842105	1068.125	1097.47619047619	1047.22222222222	NA	1750.42857142857	1242.25	1357.63636363636
1719.66666666667	1911.23809523810	NA	1536.83333333333	1250.5	1411	1559.88888888889	1647.33333333333	2025.36363636364	NA	1791.5	1739	2263.4	NA	973	1560.23809523810	1268.15	1107	1119.75	963.666666666667	NA	1496	1275.5	1324
1625.5	2072.68181818182	1402.66666666667	1558.14285714286	1253.66666666667	NA	1667.5	1867.0625	2322.23076923077	NA	1982	1597	2511.66666666667	NA	937.571428571429	1511.72	1112.35294117647	989.428571428571	991.444444444444	929.8	1228	1304.5	1152.8	1400
1480.16666666667	2038.94444444444	1414	1423.28571428571	1276.33333333333	1684.25	1562.25	1875.75	2113.42857142857	NA	1973.17647058824	1454.85714285714	2380.6	NA	1029.66666666667	1442.10256410256	1178.76	940.916666666667	983.117647058824	992.333333333333	NA	1449	1247	1444.18181818182
1307.2	2113.94736842105	1362.7	1244	1489.6875	1460.75	1481.36363636364	1751.2	2219.90476190476	2036	1976.93333333333	1850.42857142857	2472.77777777778	NA	968.625	1365.95348837209	1099.51851851852	862.9	1071.60869565217	802.888888888889	786	2058.5	1268.7	1254.17647058824
1429.75	2027.65384615385	1360.6	1279.75	1544.75	1455.33333333333	1475.25	1625.04	2068.5	NA	1863.56	1958	2546.42857142857	NA	1013.875	1470.71875	1219.26315789474	918.75	1118.77777777778	788.75	915.666666666667	1980.8	1098	1404.86666666667
1634.66666666667	2175.27777777778	NA	1488.8	1570.5	NA	1565.71428571429	1826.28571428571	2155.2	NA	2030.69230769231	2049.66666666667	2360.14285714286	NA	919.166666666667	1668.72413793103	1283.72222222222	898.714285714286	1033.66666666667	847	1028	1731	1331.14285714286	1364.38461538462
1567	1948.44	1472	1422.45454545455	1581.18181818182	1463	1536.09523809524	1758.88235294118	2073.8	NA	1929.18181818182	1923.66666666667	2456.71428571429	2328	1148.8	1606.64285714286	1216.25925925926	999.5	1093.1	964.166666666667	998	1896.33333333333	1116.66666666667	1291.11111111111
1664.5	2075.17241379310	1390	1301.5	1415.5	NA	1570.6	1937	2273.7	NA	2102.42857142857	1478.25	2477.75	NA	1086.33333333333	1495.28571428571	1282.73333333333	1170.90909090909	1139.92307692308	1148.66666666667	NA	1386.2	1382.2	1429.22222222222
1523.25	2016.44117647059	1482	1392	1438.625	NA	1419	1711.58823529412	1988.66666666667	NA	1892.64285714286	1646	2232.9	2168.5	905.5	1452.67857142857	1129.24	948	1041.57142857143	937.5	877.5	1482	1142	1345.54545454545
1614	2100.47826086957	1453	1438.6	1383.66666666667	1489	1508.08333333333	1577.73684210526	1954.61538461538	NA	1789.5	1876	2324.875	NA	867.2	1499.43478260870	1125.78260869565	911	1063.28571428571	853.666666666667	NA	1780.8	1148.75	1361.66666666667
1464.66666666667	2085.06578947368	1406.36363636364	1375.17647058824	1414.375	1574	1518.77272727273	1796.28	2095.08333333333	NA	1906.25	1496.71428571429	2364.66666666667	NA	979.25	1483.37254901961	1170.66666666667	982.2	1020.69565217391	1016.53846153846	981.333333333333	1490.33333333333	1202.44444444444	1416.21428571429
1395.77777777778	2144.07936507937	1476	1289.375	1433.81818181818	1183.5	1478.31818181818	1702.75	2122.6	2014	1916.55263157895	1323.85714285714	2452.5	1969.25	948.09090909091	1546.94871794872	1070.71875	931.866666666667	984.6	924.375	1000.33333333333	1561.625	1137.4	1289.6875
1303.6	2068.97222222222	1427.66666666667	1468.08333333333	1509.66666666667	1145.5	1538.27272727273	1484.89655172414	1751.76923076923	NA	1618.78947368421	1487.25	1921.625	NA	831.142857142857	1521.95121951220	1083.72413793103	807.444444444444	1073.33333333333	753.857142857143	710.5	1370	1183	1190.95833333333
1591.25	1910.34782608696	1406	1388.66666666667	1442	NA	1513.75	1627.33333333333	2034.375	NA	1795.8	1604.33333333333	2308.22222222222	NA	1014.66666666667	1490.2	1234.95	818.833333333333	1147	768.8	960	2036	1026.5	1264.66666666667
1294.83333333333	1952.38461538462	NA	1414.4	1460.9375	1400.5	1473.52173913043	1532.11764705882	1939.25806451613	1877	1693.82142857143	1248.75	2300.6	1883.75	904.9	1521.97058823529	1200.79310344828	841.2	950.111111111111	859	800.5	1342.28571428571	1115.28571428571	1193.91666666667
1480.2	2002.55263157895	1445.5	1326.5	1435.33333333333	1218	1466.5	1576.61538461538	2149.7	NA	1849.75	1127	2445.16666666667	2182	877.909090909091	1356.10256410256	1103.83333333333	920.3	1042.16666666667	874.5	909.5	1744	1021.33333333333	1355.73076923077
1477.6	1975.33333333333	1381	1232.5	1516.07692307692	1374	1466.25	1619.91891891892	2085.88235294118	1880	1758.75	1576.2	2337.38461538462	1866	960.9	1479.90322580645	1230.82758620690	907	1159.4	929.3	NA	1698.11111111111	1189.71428571429	1320.1875
1745.66666666667	1890.28	1335	1172	1560.4	1370.5	1499.22222222222	1870.84210526316	1978.58333333333	NA	1970.45454545455	1885.5	2414.125	NA	1032.6	1505.55555555556	1271.0625	1055.83333333333	1105.25	1090.5	NA	1623.25	1140.33333333333	1349.66666666667
1472.75	2053.90476190476	1443	1153.66666666667	1501.125	NA	1491.28571428571	1787.25	2119.06666666667	NA	1958.15384615385	1932.5	2381.85714285714	NA	936	1460.8	1131	922.857142857143	1132.08333333333	942	759	1706.5	1123.25	1462.77777777778
1270.25	1935.02127659574	1313.66666666667	1156.8	1369.75	1287	1312.61111111111	1581.55102040816	1882.61111111111	1838	1721.875	1553.33333333333	2125	1978	955.444444444444	1389.46875	1084.84	835.714285714286	1025.72727272727	918.3	873.5	1510.66666666667	1083.41666666667	1212.92307692308
1467	2226.28947368421	1502.09090909091	1517.78947368421	1508	1448.8	1617.65384615385	1836.87804878049	2162.5	2079.2	2018.2	1484.33333333333	2525	NA	1009.90909090909	1596	1079.42424242424	1023.5	951.258064516129	976.458333333333	983.333333333333	1567.7	1310.11111111111	1344.53333333333
