Country	LifeExp_Female	LifeExp_Male	Literacy_Female	Literacy_Male	Edu_Female	Edu_Male	Income_Female	Income_Male
Luxembourg	81.5	75.5	99	99	95.4	93.6	21837	40000
Macedonia (TFYR)	76.4	71.6	95.2	98.5	71.1	69.1	5184	10643
Madagascar	60.6	57.1	65.3	76.5	58.7	61.4	723	1034
Malawi	47.2	46.7	63.3	78.7	61.7	62.1	596	810
Malaysia	76.3	71.7	89.1	93.9	73.1	69.8	7596	17301
Maldives	68.3	67	97	96.9	71.4	71.3	3404	6528
Mali	55.8	51.3	15.6	31.1	37.5	51	842	1284
Malta	81.2	77	93	89.7	81.7	81	15086	28328
Marshall Islands	72.3	68.3			71.2	71.1		
Mauritania	65.4	61.8	47.5	62.9	50.5	50.7	1290	2474
Mauritius	76	69.3	84.1	89.9	75.7	78	6228	14949
Mexico	78.3	73.4	89.8	93.9	79	81.5	7311	17236
Micronesia (Federated States of)	69	67.5						
Moldova	72.2	64.9	98.2	99	75	68.9	1865	2969
Monaco	85	78.2						
Mongolia	69.5	63.2	97.7	97	84.8	73.4	2172	3603
Montenegro	76.5	72.1	94.1	98.9	75.5	73.6	6512	12097
Morocco	73	68.6	42.2	68	55.1	64	1578	6319
Mozambique	43.1	41.8	32	57	50.2	59.4	663	819
Myanmar	64.6	58.1	86.4	93.9	57.5	55.2	655	1078
Namibia	52.3	51.3	86.9	88.4	68.2	66.3	3487	6186
Nauru	83	75.2			56.1	54		
Nepal	63.4	62.5	42	69.3	58.1	63.4	671	1331
Netherlands	81.6	77.2	99	99	97.1	97.9	26207	40000
New Zealand	82	77.9	99	99	100	90	21181	29391
Nicaragua	75.4	69.4	80.8	79.3	72.7	71.5	1182	3703
Niger	55.4	57.1	15.8	43.8	21.1	31.4	437	781
Nigeria	47.2	46.1	62.8	79.4	46.6	58.2	1054	2650
Norway	82.3	77.5	99	99	100	92.2	31663	40000
Occupied Palestinian Territories	74.7	71.5	87.9	96.7	83.1	78.1	432	3654
Oman	77	73.9	76.5	88.9	68.2	69.1	6466	32361
