Word	Coda	Base	Morph	Boundary	freq
GRAPES	closed	closed	NULL	x	10
GRATE	closed	closed	NULL	x	2
GRATEFUL	closed	closed	NULL	x	4
GRATERFORD	open	open	NULL	x	1
GRATIFICATION	open	closed	deriv	x	1
GRATINGS	open	closed	inflect	x	1
GRAVE	closed	closed	NULL	x	2
GRAVES	closed	closed	NULL	x	1
GRAVEYARDS	closed	closed	NULL	x	1
GRAVITATED	open	closed	inflect	x	1
GRAVITATES	closed	closed	NULL	x	1
GRAVY	open	open	NULL	x	41
GRAY	final	free	NULL	b	4
GRAY'S	closed	free	inflect	b	1
GRAYS	closed	free	inflect	b	1
GREAT	closed	closed	NULL	x	271
GREATER	open	closed	deriv	x	8
GREATEST	open	closed	deriv	x	16
GREATLY	closed	closed	NULL	x	2
GREENAWAY	final	free	NULL	b	2
GREENWAY	final	free	NULL	b	1
GREY	final	free	NULL	b	1
GREYHOUND	open	free	compound	b	1
GREYMONT	open	open	NULL	x	1
H	closed	closed	NULL	x	21
HA	?	?	?	?	2
HA	final	free	NULL	b	2
HAIL	closed	closed	NULL	x	1
HALEN	open	open	NULL	x	1
HALFWAY	final	free	NULL	b	7
HALLUCINATING	open	closed	inflect	x	1
HALLWAY	final	free	NULL	b	16
HALLWAYS	closed	free	inflect	b	3
HASTY	open	closed	deriv	x	1
HATE	closed	closed	NULL	x	69
HATED	open	closed	inflect	x	20
HATES	closed	closed	NULL	x	9
HATIN'	open	closed	inflect	x	2
HATING	open	closed	inflect	x	4
HATRED	open	closed	deriv	x	1
HAVEN'S	open	open	NULL	x	2
HAY	final	free	NULL	b	5
HAZEL	open	open	NULL	x	2
HAZLETON	open	open	NULL	x	1
HEADACHE	closed	closed	NULL	x	19
HEADACHES	closed	closed	NULL	x	7
HEARSAY	final	free	NULL	b	1
HESITATE	closed	closed	NULL	x	4
HEY	final	free	NULL	b	143
HIGHWAY	final	free	NULL	b	5
HIGHWAYS	closed	free	inflect	b	3
HOLIDAY	final	free	NULL	b	19
HOLIDAYS	closed	free	inflect	b	20
HOMEMADE	closed	closed	NULL	x	11
HOMEMADES	closed	closed	NULL	x	1
HUMILIATION	open	closed	deriv	x	1
HURRAY	final	free	NULL	b	1
HURRICANE	closed	closed	NULL	x	1
HYPERVENTILATING	open	closed	inflect	x	1
HYPHENATED	open	closed	inflect	x	1
ILLUSTRATE	closed	closed	NULL	x	1
IMAGINATION	open	closed	deriv	x	4
IMAGINATIONS	open	closed	deriv	x	1
IMMIGRATION	open	closed	deriv	x	3
INAUGURATIONS	open	closed	deriv	x	1
INCINERATOR	open	closed	deriv	x	3
