Word	Coda	Base	Morph	Boundary	freq
RADIUS	open	open	NULL	x	7
RAID	closed	closed	NULL	x	2
RAIDS	closed	closed	NULL	x	1
RAIL	closed	closed	NULL	x	5
RAILIN'	open	closed	inflect	x	1
RAILING	open	closed	inflect	x	2
RAILINGS	open	closed	inflect	x	3
RAILROAD	closed	closed	NULL	x	13
RAILS	closed	closed	NULL	x	2
RAILWAY	closed	closed	NULL	x	1
RAILWAY	final	free	NULL	b	1
RAIN	closed	closed	NULL	x	17
RAINED	closed	closed	NULL	x	8
RAININ'	open	closed	inflect	x	4
RAINING	open	closed	inflect	x	6
RAINS	closed	closed	NULL	x	2
RAINSTORM	closed	closed	NULL	x	1
RAINY	open	closed	deriv	x	3
RAISE	closed	closed	NULL	x	61
RAISED	closed	closed	NULL	x	156
RAISES	open	closed	inflect	x	3
RAISIN	open	open	NULL	x	1
RAISIN'	open	closed	inflect	x	9
RAISING	open	closed	inflect	x	15
RAISINS	open	open	NULL	x	1
RAKE	closed	closed	NULL	x	1
RAMIFICATIONS	open	closed	deriv	x	1
RANGE	closed	closed	NULL	x	17
RANGER	closed	closed	NULL	x	3
RAPE	closed	closed	NULL	x	4
RAPED	closed	closed	NULL	x	8
RAPES	closed	closed	NULL	x	4
RAPIN'	open	closed	inflect	x	1
RAPING	open	closed	inflect	x	1
RATE	closed	closed	NULL	x	17
RATED	open	closed	inflect	x	6
RATES	closed	closed	NULL	x	2
RATINGS	open	closed	inflect	x	1
RATIO'S	open	open	NULL	x	1
RATION	open	open	NULL	x	1
RAY	final	free	NULL	b	3
RAYMOND	open	open	NULL	x	2
RAYS	closed	free	inflect	b	3
RAZOR	open	open	NULL	x	3
RE	final	free	NULL	b	4
REACQUAINTED	open	closed	inflect	x	1
REAGAN	open	open	NULL	x	4
REALIZATION	open	closed	deriv	x	4
REARRANGED	closed	closed	NULL	x	2
RECOMMENDATIONS	open	closed	deriv	x	1
RECREATED	open	closed	inflect	x	1
RECREATION	open	closed	deriv	x	15
RECREATIONAL	open	closed	deriv	x	2
REFRAINED	closed	closed	NULL	x	1
REFRIDGERATION	open	closed	deriv	x	1
REFRIGERATED	open	closed	inflect	x	1
REFRIGERATION	open	closed	deriv	x	1
REFRIGERATOR	open	closed	deriv	x	3
REFRIGERATORS	open	closed	deriv	x	1
REGISTRATION	open	closed	deriv	x	1
REGISTRATIONS	open	closed	deriv	x	3
REGULAR	open	open	NULL	x	26
REGULATIONS	open	closed	deriv	x	4
REGURGITATED	open	closed	inflect	x	1
REHABILITATE	closed	closed	NULL	x	1
REINCARNATION	open	closed	deriv	x	1
RELATE	closed	closed	NULL	x	9
RELATED	open	closed	inflect	x	14
RELATES	closed	closed	NULL	x	2
RELATION	open	closed	deriv	x	2
RELATION-	open	closed	deriv	x	1
RELATIONS	open	closed	deriv	x	3
RELATIONSHIP	open	closed	deriv	x	21
RELATIONSHIPS	open	closed	deriv	x	4
RELOCATE	closed	closed	NULL	x	2
RELOCATED	open	closed	inflect	x	1
RELOCATION	open	closed	deriv	x	1
REMAIN	closed	closed	NULL	x	4
REMAINDER	closed	closed	NULL	x	1
REMAINED	closed	closed	NULL	x	7
REMAINING	open	closed	inflect	x	3
REMAINS	closed	closed	NULL	x	1
RENAMED	closed	closed	NULL	x	1
RENEE	final	free	NULL	b	7
RENOVATE	closed	closed	NULL	x	2
RENOVATED	open	closed	inflect	x	3
RENOVATES	closed	closed	NULL	x	1
RENOVATING	open	closed	inflect	x	2
RENOVATION	open	closed	deriv	x	1
RENOVATIONS	open	closed	deriv	x	2
REPAINT	closed	closed	NULL	x	1
REPAINTED	closed	closed	NULL	x	1
REPAINTING	closed	closed	NULL	x	1
REPLACE	closed	closed	NULL	x	7
REPLACED	closed	closed	NULL	x	1
REPRESENTATION	open	closed	deriv	x	2
REPUTATION	open	closed	deriv	x	9
RESERVATIONS	open	closed	deriv	x	5
RESONATE	closed	closed	NULL	x	1
RESUME	final	free	NULL	b	2
RETAINED	closed	closed	NULL	x	1
RETAPING	open	closed	inflect	x	1
RETARDATION	open	closed	deriv	x	1
REVELATIONS	open	closed	deriv	x	2
REVITALIZATION	open	closed	deriv	x	1
ROADWAY	final	free	NULL	b	1
ROADWAYS	closed	free	inflect	b	1
ROLLERBLADING	open	closed	inflect	x	1
ROLLERSKATE	closed	closed	NULL	x	3
ROLLERSKATED	open	closed	inflect	x	1
ROLLERSKATES	closed	closed	NULL	x	2
ROLLERSKATIN'	open	closed	inflect	x	2
ROLLERSKATING	open	closed	inflect	x	2
ROOMMATE	closed	closed	NULL	x	15
ROOMMATE'S	closed	closed	NULL	x	1
ROOMMATES	closed	closed	NULL	x	4
ROTATING	open	closed	inflect	x	1
RUNAWAY	final	free	NULL	b	1
SACRED	open	open	NULL	x	20
SAFE	closed	closed	NULL	x	71
SAFEGUARDS	closed	closed	NULL	x	1
SAFER	open	closed	deriv	x	5
SAFEST	open	closed	deriv	x	6
SAFETY	closed	closed	NULL	x	30
SAGAN	open	open	NULL	x	1
SAIL	closed	closed	NULL	x	3
SAILBOATS	closed	closed	NULL	x	1
SAILOR	open	closed	deriv	x	1
SAILORS	open	closed	deriv	x	1
SAINT	closed	closed	NULL	x	142
SAINTS	closed	closed	NULL	x	3
SAINTS'	closed	closed	NULL	x	2
SAKE	closed	closed	NULL	x	2
SALE	closed	closed	NULL	x	23
SALEM	open	open	NULL	x	2
SALES	closed	closed	NULL	x	26
SALESMAN	closed	closed	NULL	x	6
SALESMEN	closed	closed	NULL	x	1
SALESPERSON	closed	closed	NULL	x	2
SALVATION	open	closed	deriv	x	6
SAME	closed	closed	NULL	x	590
SANE	closed	closed	NULL	x	1
SANITATION	open	closed	deriv	x	2
SATURDAY	final	free	NULL	b	14
SATURDAYS	closed	free	inflect	b	2
SAUTE	final	free	NULL	b	1
SAVE	closed	closed	NULL	x	27
SAVED	closed	closed	NULL	x	26
SAVER	open	closed	deriv	x	1
SAVES	closed	closed	NULL	x	3
SAVIN'	open	closed	inflect	x	3
SAVING	open	closed	inflect	x	1
SAVINGS	open	closed	inflect	x	4
SAVIOR	open	closed	deriv	x	5
SAY	final	free	NULL	b	1712
SAYER	hiatus	free	deriv	b	1
SAYIN'	hiatus	free	inflect	b	100
SAYING	hiatus	free	inflect	b	124
SAYINGS	hiatus	free	inflect	b	1
SCALE	closed	closed	NULL	x	4
SCRAPE	closed	closed	NULL	x	3
SCRAPED	closed	closed	NULL	x	4
SCRAPES	closed	closed	NULL	x	1
SCRAPIN'	open	closed	inflect	x	1
SE	final	free	NULL	b	1
SEANCE	hiatus	hiatus	NULL	x	3
SEGREGATED	open	closed	deriv	x	3
SEGREGATION	open	closed	deriv	x	1
SENSATION	open	closed	deriv	x	2
SEPARATE	closed	closed	NULL	x	5
SEPARATED	open	closed	inflect	x	20
SEPARATES	closed	closed	NULL	x	2
SEPARATIN'	open	closed	inflect	x	1
SEPARATING	open	closed	inflect	x	3
SEPARATION	open	closed	deriv	x	1
SERENADE	closed	closed	NULL	x	5
SERENADES	closed	closed	NULL	x	1
SH	?	?	?	?	2
SHADE	closed	closed	NULL	x	5
SHADES	closed	closed	NULL	x	10
SHAINA	?	?	?	?	1
SHAKE	closed	closed	NULL	x	8
SHAKEN	open	closed	inflect	x	1
SHAKER	open	closed	deriv	x	1
SHAKERS	open	closed	deriv	x	2
SHAKES	closed	closed	NULL	x	3
SHAKIN'	open	closed	inflect	x	8
SHAKING	open	closed	inflect	x	3
SHAKY	open	closed	deriv	x	3
SHAME	closed	closed	NULL	x	39
SHAPE	closed	closed	NULL	x	28
SHAPED	closed	closed	NULL	x	2
SHAPES	closed	closed	NULL	x	1
SHAPING	open	closed	inflect	x	1
SHAVE	closed	closed	NULL	x	7
SHAVED	closed	closed	NULL	x	6
SHAVEN	open	closed	deriv	x	1
SHAVING	open	closed	inflect	x	1
SHAVINGS	open	closed	inflect	x	1
SHOEMAKER	open	closed	deriv	x	2
SIDEWAYS	closed	free	inflect	b	1
SITUATION	open	closed	deriv	x	40
SITUATIONS	open	closed	deriv	x	4
SKATE	closed	closed	NULL	x	14
SKATED	open	closed	inflect	x	1
SKATES	closed	closed	NULL	x	9
SKATIN'	open	closed	inflect	x	4
SKATING	open	closed	inflect	x	21
SLAVE	closed	closed	NULL	x	6
SLAVERY	open	closed	deriv	x	1
SLAVES	closed	closed	NULL	x	5
SLAY	final	free	NULL	b	1
SLAYTON	open	open	NULL	x	1
SLEIGH	final	free	NULL	b	1
SNAKE	closed	closed	NULL	x	6
SNAKES	closed	closed	NULL	x	2
SOLICITATION	open	closed	deriv	x	1
SOMEDAY	final	free	NULL	b	7
SOMEDAYS	closed	free	inflect	b	1
SOMEPLACE	closed	closed	NULL	x	6
SOPHISTICATED	open	closed	inflect	x	1
SPACE	closed	closed	NULL	x	38
SPACED	closed	closed	NULL	x	1
SPACES	open	closed	inflect	x	4
SPADE	closed	closed	NULL	x	1
SPADES	closed	closed	NULL	x	3
SPAIN	closed	closed	NULL	x	6
SPAKE	closed	closed	NULL	x	1
SPRAINED	closed	closed	NULL	x	1
SPRAY	final	free	NULL	b	2
SPRAYIN'	hiatus	free	inflect	b	1
ST	closed	closed	NULL	x	45
STABLE	open	open	NULL	x	8
STABLES	open	open	NULL	x	2
STABLEST	open	open	NULL	x	1
STADIUM	open	open	NULL	x	14
STADIUMS	open	open	NULL	x	5
STAGE	closed	closed	NULL	x	11
STAGES	open	closed	inflect	x	3
STAINED	closed	closed	NULL	x	1
STAIRCASE	closed	closed	NULL	x	4
STAIRWAY	final	free	NULL	b	6
STAIRWAYS	closed	free	inflect	b	1
STAMOS	open	open	NULL	x	2
STAPLE	open	open	NULL	x	1
STAPLES	open	open	NULL	x	2
STARVATION	open	closed	deriv	x	1
STATE	closed	closed	NULL	x	85
STATED	open	closed	inflect	x	1
STATEMENT	closed	closed	NULL	x	4
STATEMENTS	closed	closed	NULL	x	2
STATES	closed	closed	NULL	x	47
STATION	open	open	NULL	x	32
STATIONARY	open	open	NULL	x	4
STATIONED	open	open	NULL	x	8
STATIONERY	open	open	NULL	x	3
STATIONS	open	closed	deriv	x	2
STAY	final	free	NULL	b	301
STAYED	closed	free	inflect	b	129
STAYIN'	hiatus	free	inflect	b	26
STAYING	hiatus	free	inflect	b	25
STAYS	closed	free	inflect	b	22
STEAK	closed	closed	NULL	x	15
STEAKHOUSE	closed	closed	NULL	x	1
STEAKS	closed	closed	NULL	x	10
STIMULATE	closed	closed	NULL	x	1
STIPULATION	open	closed	deriv	x	2
STRAIGHT	closed	closed	NULL	x	60
STRAIGHTEN	?	?	?	?	8
STRAIGHTENED	closed	closed	NULL	x	5
STRAIGHTENING	closed	closed	NULL	x	1
STRAIN	closed	closed	NULL	x	7
STRANGE	closed	closed	NULL	x	42
STRANGELY	closed	closed	NULL	x	2
STRANGER	closed	closed	NULL	x	4
STRANGERS	closed	closed	NULL	x	6
STRAYS	closed	free	inflect	b	2
SUBWAY	final	free	NULL	b	26
SUBWAYS	closed	free	inflect	b	7
SUFFOCATIN'	open	closed	inflect	x	1
SUITCASE	closed	closed	NULL	x	2
SUITCASES	open	closed	inflect	x	2
SUNDAY	final	free	NULL	b	71
SUNDAYS	closed	free	inflect	b	7
SURVEY	final	free	NULL	b	6
SURVEYS	closed	free	inflect	b	1
SUSTAINED	closed	closed	NULL	x	1
SWAY	final	free	NULL	b	5
TABLE	open	open	NULL	x	98
TABLER	open	open	NULL	x	1
TABLES	open	open	NULL	x	9
TAIL	closed	closed	NULL	x	7
TAIL'S	closed	closed	NULL	x	1
TAILOR	closed	closed	NULL	x	20
TAILORING	open	open	NULL	x	2
TAILS	closed	closed	NULL	x	4
TAIPEI	final	free	NULL	b	1
TAKE	closed	closed	NULL	x	787
TAKEN	open	closed	inflect	x	82
TAKER	?	?	?	?	2
TAKERS	open	closed	deriv	x	1
TAKES	closed	closed	NULL	x	75
TAKIN'	open	closed	inflect	x	64
TAKING	open	closed	inflect	x	56
TALE	closed	closed	NULL	x	1
TAME	closed	closed	NULL	x	2
TAMED	closed	closed	NULL	x	4
TAPE	closed	closed	NULL	x	34
TAPED	closed	closed	NULL	x	2
TAPER	open	closed	deriv	x	1
TAPES	closed	closed	NULL	x	10
TAPIN'	open	closed	inflect	x	3
TASTE	closed	closed	NULL	x	17
TASTED	open	closed	inflect	x	1
TASTES	closed	closed	NULL	x	4
TASTING	open	closed	inflect	x	2
TASTY	open	closed	deriv	x	7
TEAMMATES	closed	closed	NULL	x	4
TEASDALE	closed	closed	NULL	x	1
TEENAGE	closed	closed	NULL	x	8
TEENAGER	open	closed	deriv	x	11
TEENAGERS	open	closed	deriv	x	25
TEMPTATIONS	open	closed	deriv	x	1
TERESA	open	open	NULL	x	4
TERMINATION	open	closed	deriv	x	1
TERRAIN	closed	closed	NULL	x	1
TH	?	?	?	?	5
THERESA	open	open	NULL	x	1
THEY	final	free	NULL	b	8682
THEY'D	closed	free	contract	b	178
THEY'LL	closed	free	contract	b	31
THEY'VE	closed	free	contract	b	99
THEYSELF	?	?	?	?	1
THURSDAY	final	free	NULL	b	7
TIMIDATING	open	closed	inflect	x	1
TODAY	final	free	NULL	b	332
TODAY'LL	hiatus	free	contract	b	1
TODAY'S	closed	free	inflect	b	9
TOLERATE	closed	closed	NULL	x	5
TOMATO	open	open	NULL	x	12
TOMATOES	open	open	NULL	x	31
TOMATOS	open	open	NULL	x	2
TOOTHPASTE	closed	closed	NULL	x	1
TORRESDALE	closed	closed	NULL	x	1
TOYMAKER	open	closed	deriv	x	1
TRACED	closed	closed	NULL	x	3
TRACES	open	closed	inflect	x	2
TRACY	open	open	NULL	x	8
TRACY'S	open	open	NULL	x	1
TRADE	closed	closed	NULL	x	23
TRADES	closed	closed	NULL	x	6
TRAIL	closed	closed	NULL	x	5
TRAILER	open	closed	deriv	x	12
TRAIN	closed	closed	NULL	x	63
TRAINED	closed	closed	NULL	x	8
TRAINER	open	closed	deriv	x	3
TRAININ'	open	closed	inflect	x	2
TRAINING	open	closed	inflect	x	13
TRAINS	closed	closed	NULL	x	12
TRAIT	closed	closed	NULL	x	1
TRANE	closed	closed	NULL	x	1
TRANSLATE	closed	closed	NULL	x	1
TRANSPORTATION	open	closed	deriv	x	19
TRAY	final	free	NULL	b	9
TRAYS	closed	closed	NULL	x	5
TROUBLEMAKER	open	closed	deriv	x	1
TUESDAY	final	free	NULL	b	10
TUESDAYS	closed	free	inflect	b	1
UKRAINE	closed	closed	NULL	x	2
UKRANIAN	open	closed	deriv	x	4
UNAVAILABLE	open	open	NULL	x	1
UNCHANGEABLE	closed	closed	NULL	x	1
UNDERTAKER	open	closed	deriv	x	1
UNDERTAKERS	open	closed	deriv	x	1
UNDERTAKING	open	closed	inflect	x	1
UNDERWEIGHT	open	free	deriv	b	1
UNMADE	closed	closed	NULL	x	1
UNPATRIOTIC	open	open	NULL	x	1
UNSAFE	closed	closed	NULL	x	4
UNSTABLE	open	open	NULL	x	1
UPSTATE	closed	closed	NULL	x	11
VACA-	open	open	NULL	x	2
VACANCIES	open	open	NULL	x	1
VACANT	open	open	NULL	x	5
VACATION	open	open	NULL	x	49
VACATION'S	open	closed	deriv	x	2
VACATIONS	open	closed	deriv	x	9
VAGUE	closed	closed	NULL	x	1
VAGUELY	open	closed	deriv	x	3
VAGUER	open	closed	deriv	x	1
VALIUMS	?	?	?	?	1
VASE	closed	closed	NULL	x	2
VEGAS	open	open	NULL	x	12
VEIL	closed	closed	NULL	x	5
VERBATIM	open	open	NULL	x	1
VERTEBRAE	final	free	NULL	b	1
VIOLATING	open	closed	inflect	x	1
VIOLATIONS	open	closed	deriv	x	1
VIOLATORS	open	closed	deriv	x	1
VISITATION	open	closed	deriv	x	3
VOCATION	open	closed	deriv	x	1
VOCATIONAL	open	closed	deriv	x	6
VOLCANO	open	open	NULL	x	2
WADE	closed	closed	NULL	x	1
WAGE	closed	closed	NULL	x	6
WAGER	open	closed	deriv	x	1
WAGES	open	closed	inflect	x	6
WAIST	closed	closed	NULL	x	1
WAIT	closed	closed	NULL	x	118
WAITED	open	closed	inflect	x	24
WAITER	open	closed	deriv	x	4
WAITIN'	open	closed	inflect	x	27
WAITING	open	closed	inflect	x	23
WAITRESS	open	closed	deriv	x	7
WAITRESSED	open	closed	deriv	x	5
WAITRESSES	open	closed	deriv	x	3
WAITRESSING	open	closed	deriv	x	2
WAKE	closed	closed	NULL	x	27
WAKES	closed	closed	NULL	x	3
WAKIN'	open	closed	inflect	x	1
WALES	closed	closed	NULL	x	1
WALLPAPER	open	open	NULL	x	6
WALLPAPERED	open	open	NULL	x	1
WANAMAKER'S	open	open	NULL	x	2
WASTE	closed	closed	NULL	x	17
WASTED	open	closed	inflect	x	6
WASTIN'	open	closed	inflect	x	1
WASTING	open	closed	inflect	x	3
WAVE	closed	closed	NULL	x	6
WAVIN'	open	closed	inflect	x	1
WAY	final	free	NULL	b	973
WAY'S	closed	free	inflect	b	1
WAYNE	closed	closed	NULL	x	7
WAYS	closed	free	inflect	b	51
WAYSIDE	open	free	compound	x	1
WEDNESDAY	final	free	NULL	b	6
WEEKDAY	final	free	NULL	b	1
WEEKDAYS	closed	free	inflect	b	4
WEIGH	final	free	NULL	b	3
WEIGHED	closed	free	inflect	b	3
WEIGHIN'	hiatus	free	inflect	b	3
WEIGHING	hiatus	free	inflect	b	1
WEIGHT	closed	free	deriv	b	18
WEIGHTS	closed	free	deriv	b	4
WHOLESALE	closed	closed	NULL	x	3
WOODHAVEN	open	open	NULL	x	2
XAGGERATE	closed	closed	NULL	x	1
YEA	final	free	NULL	b	36
YESSADAY	final	free	NULL	b	1
YESTERDAY	final	free	NULL	b	25
YESTUHDAY	final	free	NULL	b	1
